Dataset,Fold,Rep,Conf,Error
airfoil,4,1,2,10.372761945898604
airfoil,4,2,2,9.683924202346455
airfoil,4,3,2,8.28240773486579
airfoil,4,4,2,10.372761945898608
airfoil,4,5,2,8.601438581802274
airfoil,0,0,3,9.069938150072852
airfoil,0,1,3,9.470782858705748
airfoil,0,2,3,8.26723391353103
airfoil,0,3,3,9.78429142105412
airfoil,0,4,3,9.025807046158068
airfoil,0,5,3,26.473344689949776
airfoil,1,0,3,9.587666386828195
airfoil,1,1,3,8.718643206572711
airfoil,1,2,3,9.6526444940443
airfoil,1,3,3,9.405100088905105
airfoil,1,4,3,8.208029526181276
airfoil,1,5,3,8.249390807142706
airfoil,2,0,3,8.021090035830383
airfoil,2,1,3,9.063373573516431
airfoil,2,2,3,8.348913603078016
airfoil,2,3,3,7.332344385065435
airfoil,2,4,3,9.066391225916668
airfoil,2,5,3,8.024432862506933
airfoil,3,0,3,9.31227861562201
airfoil,3,1,3,10.27294482043016
airfoil,3,2,3,8.228780805813438
airfoil,3,3,3,8.694918937725246
airfoil,3,4,3,8.090986826959478
airfoil,3,5,3,8.652541534562237
airfoil,4,0,3,8.999692676078922
airfoil,4,1,3,9.322766344558978
airfoil,4,2,3,9.254818458759907
airfoil,4,3,3,8.673256055569581
airfoil,4,4,3,8.910062935958408
airfoil,4,5,3,9.816167762926028
airfoil,0,0,4,8.61356197791052
airfoil,0,1,4,8.03252892730491
airfoil,0,2,4,16.001382803406933
airfoil,0,3,4,8.795784664289572
airfoil,0,4,4,8.511948434006383
airfoil,0,5,4,18.9191165442147
airfoil,1,0,4,19.01936151377597
airfoil,1,1,4,8.376990318462939
airfoil,1,2,4,18.862199237820732
airfoil,1,3,4,8.409472399054923
airfoil,1,4,4,20.663655967792774
airfoil,1,5,4,7.992423620647955
airfoil,2,0,4,13.20184132983012
airfoil,2,1,4,7.631046822127796
airfoil,2,2,4,8.479318681735167
airfoil,2,3,4,9.772925590191214
airfoil,2,4,4,12.302845985255804
airfoil,2,5,4,7.1997561437602595
airfoil,3,0,4,8.03242024613058
airfoil,3,1,4,7.52946790242871
airfoil,3,2,4,8.618058843796005
airfoil,3,3,4,10.132407188832994
airfoil,3,4,4,15.696997297230519
airfoil,3,5,4,14.610914364669906
airfoil,4,0,4,7.869514319992735
airfoil,4,1,4,8.773410329187701
airfoil,4,2,4,8.380887511325625
airfoil,4,3,4,17.839738274942196
airfoil,4,4,4,14.465078077119705
airfoil,4,5,4,19.83839307216435
airfoil,0,0,5,7.741314696351139
airfoil,0,1,5,7.348167913394323
airfoil,0,2,5,8.8290978423352
airfoil,0,3,5,8.350294359227991
airfoil,0,4,5,7.27676792842502
airfoil,0,5,5,8.34788158534125
airfoil,1,0,5,8.323089403631823
airfoil,1,1,5,16.092877402015596
airfoil,1,2,5,8.253603381612049
airfoil,1,3,5,8.135573454841122
airfoil,1,4,5,8.631182936842226
airfoil,1,5,5,8.282168605056144
airfoil,2,0,5,15.72136590976382
airfoil,2,1,5,6.957314272849572
airfoil,2,2,5,7.255340946582539
airfoil,2,3,5,7.377158265354168
airfoil,2,4,5,15.09783784774396
airfoil,2,5,5,6.927586467394312
airfoil,3,0,5,8.169538376919416
airfoil,3,1,5,8.59788240658428
